عدد أيام الغياب,آمن من التنمر,الجنس,المستوى الدراسي,جودة النوم ,غياب الأقران,الاستدراك,سهولة الفهم,عيان,مريض,مشكل فالعائلة,ماكنفهمش الدروس,خايف,مشكل فالنقل,المشي,النقل
3,1,1,6,1,0,0,1,1,1,1,0,0,0,1,0
0,1,0,6,1,0,1,0,1,1,0,1,1,0,1,0
3,1,1,6,0,1,1,1,0,0,0,0,0,1,1,0
3,1,1,6,1,1,1,1,1,0,0,0,0,0,1,0
3,0,1,6,1,1,1,0.5,0,1,0,0,0,0,1,0
3,1,1,3,1,1,1,1,0,1,1,0,0,0,1,0
3,1,0,1,1,1,1,0.5,1,1,0,0,0,0,1,0
3,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0
3,1,1,5,1,1,0,0,1,1,0,1,0,0,1,0
3,0,0,5,1,1,1,0.5,0,1,0,0,0,0,1,0
3,1,0,3,1,1,1,0,0,0,1,1,0,0,1,0
3,1,0,3,0,1,1,0.5,0,1,0,1,0,0,1,0
3,1,1,3,1,1,1,0.5,0,1,0,1,0,0,1,0
1.5,1,1,2,1,1,1,1,0,0,1,0,1,0,1,0
3,1," ""بنت""",3,0,1,1,0,1,0,1,0,0,1,1,0
3,1, ولد,2,1,1,0,0,0,0,0,1,0,0,1,0
3,0, بنت,4,0,1,1,0.5,0,0,0,1,0,0,0,1
3,1, بنت,4,1,1,1,1,0,0,1,0,0,0,1,0
0,1, ولد,4,1,1,1,1,0,0,1,0,0,0,0,1
0,1,1,4,1,1,1,1,0,0,1,0,0,0,1,0
1.5,0, ولد,4,0,1,1,1,0,1,0,0,0,0,1,0
1.5,1, ولد,4,1,0,1,1,0,0,1,0,0,0,1,0
1.5,0, بنت,4,0,1,1,0.5,0,1,0,0,0,0,1,0
3,1, بنت,4,1,1,0,0,0,0,1,0,0,0,1,0
3,1, ولد,4,1,1,0,0.5,0,0,1,0,0,0,1,0
3,1, ولد,3,1,1,1,0.5,0,0,0,1,0,0,1,0
0,0, بنت,3,0,0,0,0,0,0,0,1,0,0,1,0
3,1, بنت,3,1,1,1,0.5,1,0,0,0,0,0,1,0
3,1, ولد,6,1,1,1,1,0,1,0,0,0,0,1,0
0,1, بنت,6,0,1,1,0.5,0,0,1,0,0,0,1,0
3,0, ولد,6,0,1,1,0.5,0,0,1,0,0,0,1,0
